Une accélération 	An acceleration
Aérodynamique 	Aerodynamics
Au-delà 	Beyond
Dangereux 	Dangerous
De la poussière 	Dust
Des particules 	Particles
Des rayons 	Rays
Des rayons ultraviolets 	Ultraviolet rays
Extraterrestre 	Extraterrestrial
Gravité zéro 	Zero gravity
Hydrogène 	Hydrogen
Ingénieur 	Engineer
Instable 	Unstable
Intergalactique 	Intergalactic
Interplanétaire 	Interplanetary
Interstellaire 	Interstellar
L’allumage 	The ignition
L’altitude 	The altitude
L’astronaute 	The astronaut
L’astronomie 	Astronomy
L’astrophysique 	Astrophysics
L’atmosphère 	The atmosphere
L’azote 	Nitrogen
L’équipage 	The crew
L’équipement 	The equipment
L’espace 	The space
L’exploration 	The exploration
L’hémisphère 	The hemisphere
L’impact 	The impact
L’inconnu 	The unknown
L’origine 	The origin
L’oxygène 	Oxygen
L’univers 	The universe
La chaleur 	The heat
La combustion 	Combustion
La comète 	The comet
La communication 	The communication
La constellation 	The constellation
La densité 	The density
La descente 	The descent
La force centrifuge 	Centrifugal force
La galaxie 	The Galaxy
La gravité 	The gravity
La lumière 	The light
La Lune 	The Moon
La navette 	The shuttle
La navigation 	The navigation
La recherche 	The research
La station spatiale 	The Space Station
La stratosphère 	The stratosphere
La taille 	The size
La technologie 	The technology
La température 	The temperature
La Terre 	Earth
La vitesse de la lumière 	The speed of light
La voie lactée 	The Milky Way
Le Big bang 	The Big bang
Le ciel 	The sky
Le cosmos 	The cosmos
Le ravitailleur 	The mothership
Le soleil 	The sun
Le système solaire 	The solar system
Le transport 	The transport
Le vol 	The flight
Les anneaux de Saturne 	The rings of Saturn
Les données 	The data
Les radiations 	The radiation
Loin 	Far away, distant
Magnétique 	Magnetic
Mars 	Mars
Mercure 	Mercury
Neptune 	Neptune
Jupiter 	Jupiter
Pluton 	Pluto
Saturne 	Saturn
Stellaire 	Stellar
Uranus 	Uranus
Vénus 	Venus
Un astéroïde 	An asteroid
Un astronome 	An astronomer
Un atterrisseur lunaire 	A lunar lander
Un cratère 	A crater
Un échantillon 	A sample
Un extra-terrestre 	An alien
Un instrument 	An instrument
Un laboratoire 	A laboratory
Un martien 	A Martian
Un module 	A module
Un moteur 	A motor, an engine
Un objectif 	An objective
Un objet volant non identifié (ovni) 	An unknown flying object (UFO)
Un observatoire 	An observatory
Un périple 	A journey
Un physicien 	A physicist
Un propulseur 	A thruster
Un radar 	A radar
Un rayon cosmique 	A cosmic ray
Un satellite 	A satellite
Un scientifique 	A scientist
Un télescope 	A telescope
Un trou noir 	A black hole
Un vaisseau spatial 	A spaceship
Une analyse 	An analysis
Une année-lumière 	A light-year
Une anomalie 	An anomaly
Une aurore boréale 	A Northern Lights, an aurora
Une catastrophe 	A disaster
Une ceinture d’astéroïdes 	An asteroid belt
Une collision 	A collision
Une combinaison spatiale 	A space suit
Une comète 	A comet
Une découverte 	A discovery
Une éclipse 	An eclipse
Une étoile 	A star
Une étoile filante 	A shooting star
Une expédition 	An expedition
Une explosion 	An explosion
Une fusée 	A rocket
Une météorite 	A meteorite
Une mission 	A mission
Une navette spatiale 	A space Shuttle
Une orbite 	An orbit
Une planète 	A planet
Une preuve 	A proof, an evidence
Une rampe de lancement 	A launch pad
Une rotation 	A rotation
Une sonde 	A probe
Une trajectoire 	A trajectory
Une transmission 	A transmission
Une turbulence 	Turbulence
