un antirides 	anti-wrinkle
de l’après-rasage 	aftershave
de l’après-shampoing 	conditioner
de la crème à raser 	shaving cream
dissolvant 	nail polish remover
du bain moussant 	bubble bath
du démaquillant 	make-up remover
du dentifrice 	toothpaste
du déodorant 	deodorant
du fil dentaire 	dental floss
du gel douche 	shower gel
du maquillage 	make-up
du rouge à lèvres 	lipstick
du savon 	soap
du shampoing 	shampoo
du vernis à ongle 	nail polish
l’armoire à pharmacie 	medicine cabinet (cupboard)
l’épilation 	wax
la baignoire 	the bath
la crème hydratante 	moisturizer
la douche 	the shower
la manucure 	manicure
la pédicure 	pedicure
la pince à épiler 	tweezers
la poudre 	face powder
la salle de bains 	the bathroom
le bain de bouche 	mouthwash
le brillant à lèvres 	lip gloss
le bronzage 	tan
le correcteur 	concealer
le coupe-ongles 	clippers
le crayon à lèvres 	lip liner
le crayon à sourcils 	eyebrow pencil
le démaquillant 	cleanser
le fard à joues 	blusher
le fard à paupières 	eyeshadow
le fond de teint 	foundation
le gant de toilette 	wash glove
le lavabo 	the sink
le mascara 	mascara
le meuble de salle de bains 	the toilet table
le miroir 	mirror
le nécessaire de maquillage 	make-up kit
le parfum 	perfume
le pèse-personne 	bathroom scales
le porte-serviettes 	towel rack
le rasage 	shaving
le rasoir 	razor
le rasoir électrique 	electric shaver
le rouleau de papier toilette 	toilet paper
le sèche-cheveux 	hairdryer
le soin du visage 	facial
le tapis de bains 	bath mat
le teint 	complexion
le teinture de cheveux 	hair dye
les accessoires de toilette 	toiletries
les soins de beauté 	beauty treatments
les toilettes 	the toilet
lime à ongles 	nail file
sec 	dry
sensible 	sensitive
un coton-tige 	cotton bud
un coupe-ongles 	nail clippers
un peigne 	comb
un peignoir 	bathrobe
un rasoir 	shaver
un tampon 	tampon
une brosse à cheveux 	hairbrush
une brosse à dents 	toothbrush
une serviette 	towel
une serviette hygiénique 	sanitary napkin
VERBES UTILES 	USEFUL VERBS
épiler 	to wax
exfolier 	to exfoliate
mettre du maquillage 	to put on make-up
prendre un bain 	to take a bath
prendre une douche 	to take a shower
se brosser les cheveux 	to brush one’s hair
se brosser les dents 	to brush one’s teeth
se faire les ongles 	to do one’s nails
se laver 	to wash
se laver les cheveux 	to wash one’s hair
se laver les mains 	to wash one’s hands
se raser 	to shave
se sécher les cheveux avec un sèche-cheveux 	to blow-dry your hair
se sécher les mains 	to dry one’s hands
tirer la chasse d’eau 	to flush the toilets
